Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-104,1989,12.9,0,15,6,40,1.16,0.47,0,0,20.8,0,0,0,1,1,0.06,-1,-1,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-325,1991,10.9,0,12,1,8.3,1.1,0.09,0,0,22.2,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-000,1989,14.9,1,6,2,33.3,0.4,0.13,0.17,0.5,8.1,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-012,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-146,1998,22.5,1,36,8,22.2,1.6,0.36,0.03,0.13,24.1,11,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-018,1992,16.5,2,14,5,35.7,0.85,0.3,0.14,0.4,19.2,0,0,0,1,1,0.07,+1.0,+1.0,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-151,1992,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
18,Allan\Allan,br BRA,MF,Everton,30-053,1991,12.4,0,4,1,25,0.32,0.08,0,0,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-325,1996,1.6,0,2,1,50,1.26,0.63,0,0,10.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-020,1994,17.6,4,24,10,41.7,1.36,0.57,0.17,0.4,17.8,1,0,0,2.4,2.4,0.1,+1.6,+1.6,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-064,1990,6.8,1,13,3,23.1,1.91,0.44,0.08,0.33,16.4,2,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-175,1998,8,1,5,2,40,0.63,0.25,0.2,0.5,14.6,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-071,1994,4.5,0,2,0,0,0.44,0,0,,13,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-169,2000,17.8,0,7,2,28.6,0.39,0.11,0,0,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-275,1996,19.7,0,6,1,16.7,0.3,0.05,0,0,17.1,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-116,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-321,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-339,1990,13.8,7,42,19,45.2,3.05,1.38,0.17,0.37,12.4,0,0,0,8.1,8.1,0.2,-1.1,-1.1,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-003,1993,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-337,1992,19.2,3,28,5,17.9,1.45,0.26,0.11,0.6,19.5,0,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-150,1994,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-257,1989,19.6,8,44,17,38.6,2.25,0.87,0.14,0.35,14.3,0,2,2,8.2,6.7,0.15,-0.2,-0.7,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-068,1992,12.8,2,10,5,50,0.78,0.39,0.2,0.4,16.2,0,0,0,1,1,0.1,+1.0,+1.0,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-240,1989,1.5,0,3,0,0,1.96,0,0,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-172,1991,15.6,1,18,7,38.9,1.16,0.45,0.06,0.14,16.6,0,0,0,1.7,1.7,0.1,-0.7,-0.7,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-189,1991,25.8,0,17,4,23.5,0.66,0.16,0,0,17.9,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-186,1989,14.6,1,9,4,44.4,0.62,0.27,0.11,0.25,14.6,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-324,1994,6.1,0,1,0,0,0.16,0,0,,11,0,0,0,0,0,0.05,0,0,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-191,1991,12,1,7,2,28.6,0.58,0.17,0.14,0.5,9.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-358,1993,20.5,0,10,2,20,0.49,0.1,0,0,16.5,0,0,0,1,1,0.1,-1,-1,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-229,1989,4.1,3,15,6,40,3.7,1.48,0.2,0.5,18,2,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-178,1993,24.8,13,83,35,42.2,3.34,1.41,0.14,0.34,12.7,0,1,1,12.7,12,0.14,+0.3,0,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-247,1985,3,0,4,0,0,1.31,0,0,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-087,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-087,1993,11.8,3,31,9,29,2.62,0.76,0.1,0.33,17.1,1,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-123,1989,14.4,3,36,12,33.3,2.51,0.84,0.06,0.17,16,0,1,1,4.9,4.1,0.11,-1.9,-2.1,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-083,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,+2.8,+2.8,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-284,1991,16.8,3,9,5,55.6,0.54,0.3,0.33,0.6,6.9,0,0,0,1.6,1.6,0.18,+1.4,+1.4,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-225,1988,22.6,0,8,1,12.5,0.35,0.04,0,0,14.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-151,1993,7.8,1,11,5,45.5,1.41,0.64,0.09,0.2,17.3,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-324,1996,24.9,1,9,4,44.4,0.36,0.16,0.11,0.25,8.8,0,0,0,0.9,0.9,0.1,+0.1,+0.1,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-318,1997,3.6,1,1,1,100,0.28,0.28,1,1,9.8,0,0,0,0.3,0.3,0.26,+0.7,+0.7,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-348,1995,21.2,1,11,4,36.4,0.52,0.19,0.09,0.25,20.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-204,1995,9.8,0,21,8,38.1,2.14,0.81,0,0,19.6,1,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-087,1999,2.9,0,2,0,0,0.68,0,0,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-089,1990,10.1,4,37,16,43.2,3.68,1.59,0.11,0.25,11.2,0,0,0,4,4,0.11,0,0,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-126,1990,8.3,2,14,6,42.9,1.68,0.72,0.14,0.33,21.5,1,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-016,1998,11.3,1,9,1,11.1,0.8,0.09,0,0,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-145,1997,11.3,0,12,2,16.7,1.06,0.18,0,0,16.7,0,0,0,1.7,1.7,0.14,-1.7,-1.7,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-175,1992,3.3,1,4,2,50,1.21,0.61,0.25,0.5,18.3,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-292,1995,2.3,0,4,0,0,1.75,0,0,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-209,1989,23.9,0,8,3,37.5,0.34,0.13,0,0,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-184,1996,22.6,1,25,2,8,1.11,0.09,0.04,0.5,25.8,1,0,0,0.7,0.7,0.03,+0.3,+0.3,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-218,2000,8,2,12,6,50,1.51,0.75,0.17,0.33,11.8,0,0,0,1.4,1.4,0.12,+0.6,+0.6,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-027,1991,16,1,10,3,30,0.62,0.19,0.1,0.33,10.9,0,0,0,1,1,0.1,0,0,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-072,1996,20.4,5,39,7,17.9,1.91,0.34,0.13,0.71,16.9,0,0,0,4.5,4.5,0.12,+0.5,+0.5,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-047,1992,11.2,1,15,5,33.3,1.34,0.45,0.07,0.2,19.1,3,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-335,2000,8.2,0,14,4,28.6,1.71,0.49,0,0,17.8,1,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-073,1995,19.8,0,21,2,9.5,1.06,0.1,0,0,21.3,5,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-166,1993,5,0,4,1,25,0.8,0.2,0,0,21.7,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-121,1996,5.3,1,1,1,100,0.19,0.19,1,1,2,0,0,0,0.3,0.3,0.29,+0.7,+0.7,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-329,1997,10.4,1,22,6,27.3,2.11,0.58,0.05,0.17,14.7,0,0,0,2.2,2.2,0.1,-1.2,-1.2,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-297,1992,15.4,0,12,3,25,0.78,0.2,0,0,14.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-003,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-336,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-155,1981,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-073,1985,11,1,4,1,25,0.36,0.09,0.25,1,12,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-041,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-351,1997,20.9,13,55,32,58.2,2.63,1.53,0.24,0.41,11.9,0,0,0,10.4,10.4,0.19,+2.6,+2.6,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-279,1994,18.9,1,25,8,32,1.32,0.42,0.04,0.13,21.5,0,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-021,2000,2.8,0,5,3,60,1.78,1.07,0,0,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-055,1989,4.2,1,14,2,14.3,3.31,0.47,0.07,0.5,13.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-207,1997,20.2,0,7,1,14.3,0.35,0.05,0,0,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-151,1986,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-087,1995,14.1,1,3,2,66.7,0.21,0.14,0.33,0.5,6.5,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,26-364,1994,2.9,0,1,0,0,0.34,0,0,,16.3,0,0,0,0,0,0.05,0,0,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-135,1993,17.5,3,36,14,38.9,2.05,0.8,0.06,0.14,17.4,1,1,2,4.4,3.6,0.1,-1.4,-1.6,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-016,1987,9.5,6,25,10,40,2.64,1.06,0.24,0.6,10.1,0,0,0,4.8,4.8,0.19,+1.2,+1.2,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-207,1996,12.4,0,6,0,0,0.49,0,0,,29,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
90,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-071,1996,17.5,2,16,6,37.5,0.91,0.34,0.13,0.33,14.1,0,0,0,1.4,1.4,0.08,+0.6,+0.6,Matches
91,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-152,1997,2.5,0,1,0,0,0.39,0,0,,19,0,0,0,0,0,0.05,0,0,Matches
92,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-326,1996,8.1,0,2,0,0,0.25,0,0,,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
93,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-157,1989,14.4,1,7,2,28.6,0.49,0.14,0.14,0.5,10.9,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
94,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-331,1991,12.7,0,4,1,25,0.31,0.08,0,0,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
95,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-005,1993,24.7,0,3,0,0,0.12,0,0,,16,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
96,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-142,1988,9.8,0,5,4,80,0.51,0.41,0,0,19.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
97,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-033,2000,8,2,21,8,38.1,2.62,1,0.1,0.25,13.4,0,0,0,3.3,3.3,0.16,-1.3,-1.3,Matches
98,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-184,1991,19.8,1,15,8,53.3,0.76,0.4,0.07,0.13,8.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
99,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-250,1989,7.2,0,5,0,0,0.7,0,0,,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
100,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-049,1994,9.5,3,13,6,46.2,1.37,0.63,0.23,0.5,14.5,0,0,0,1.6,1.6,0.12,+1.4,+1.4,Matches
101,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-192,1992,21.9,0,9,3,33.3,0.41,0.14,0,0,15.7,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
102,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-077,1989,26,0,15,4,26.7,0.58,0.15,0,0,23.5,8,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
103,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-058,1998,0.3,0,1,0,0,3.6,0,0,,10.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
104,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-317,1991,25.9,5,28,11,39.3,1.08,0.42,0.18,0.45,20.7,0,0,0,2.6,2.6,0.09,+2.4,+2.4,Matches
105,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-016,1987,12,1,5,2,40,0.42,0.17,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
106,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-145,1990,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
107,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-312,1993,13.6,0,3,0,0,0.22,0,0,,13,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
108,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-245,1998,9.7,0,2,0,0,0.21,0,0,,29.5,0,0,0,0,0,0.02,0,0,Matches
109,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,23-017,1998,0.6,0,3,0,0,5.09,0,0,,10,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
110,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-049,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
111,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-300,1990,11,2,9,3,33.3,0.82,0.27,0.22,0.67,7.9,0,0,0,1.1,1.1,0.13,+0.9,+0.9,Matches
112,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-247,1991,17.4,3,64,17,26.6,3.67,0.98,0.02,0.06,20.6,8,2,3,8.3,6,0.09,-5.3,-5,Matches
113,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-022,2003,0.4,0,1,0,0,2.25,0,0,,12,0,0,0,0,0,0.03,0,0,Matches
114,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-101,1989,2.4,0,1,0,0,0.42,0,0,,30.4,0,0,0,0,0,0.03,0,0,Matches
115,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,25-321,1995,18.7,0,26,7,26.9,1.39,0.37,0,0,13.6,0,0,0,2.7,2.7,0.1,-2.7,-2.7,Matches
116,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,29-125,1991,5.2,1,10,4,40,1.94,0.78,0.1,0.25,10.2,0,0,0,2.3,2.3,0.23,-1.3,-1.3,Matches
117,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,21-359,1999,4.9,0,2,0,0,0.41,0,0,,16.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
118,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22-317,1998,12.1,1,12,5,41.7,0.99,0.41,0.08,0.2,16.1,0,0,0,1,1,0.08,0,0,Matches
119,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,24-078,1996,18,5,50,21,42,2.78,1.17,0.1,0.24,16.7,3,0,0,4.3,4.3,0.09,+0.7,+0.7,Matches
120,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23-292,1997,22.8,1,11,6,54.5,0.48,0.26,0.09,0.17,6.9,0,0,0,2,2,0.18,-1,-1,Matches
121,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,27-046,1994,21,0,12,2,16.7,0.57,0.1,0,0,22.8,7,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
122,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,27-225,1993,16.8,0,8,0,0,0.48,0,0,,21.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
123,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29-237,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
124,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,24-052,1997,6.3,1,2,1,50,0.32,0.16,0.5,1,7.3,0,0,0,0.2,0.2,0.1,+0.8,+0.8,Matches
125,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22-260,1998,11.5,1,12,2,16.7,1.04,0.17,0.08,0.5,18.2,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
126,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,29-045,1992,9.7,0,1,1,100,0.1,0.1,0,0,5.8,0,0,0,0.3,0.3,0.34,-0.3,-0.3,Matches
127,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,23-073,1997,14.2,2,11,4,36.4,0.78,0.28,0.18,0.5,11.1,0,0,0,0.8,0.8,0.07,+1.2,+1.2,Matches
128,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,28-060,1993,23,2,15,5,33.3,0.65,0.22,0.13,0.4,17.2,0,0,0,2,2,0.13,0,0,Matches
129,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-046,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
130,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,29-157,1991,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
131,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,29-101,1991,23,3,22,8,36.4,0.96,0.35,0.14,0.38,12,2,0,0,2.1,2.1,0.1,+0.9,+0.9,Matches
132,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,23-134,1997,2,1,3,1,33.3,1.5,0.5,0.33,1,8.4,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
133,Ederson\Ederson,br BRA,GK,Manchester City,27-197,1993,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
134,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,23-013,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
135,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,28-133,1992,21.1,0,7,0,0,0.33,0,0,,10.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
136,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,33-174,1987,3.8,0,3,0,0,0.79,0,0,,10.8,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
