,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,position,possession,possession_team,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
10,,,,,,,,,,,4.227,,,,,,,,,,,,,8e15fe37-fe08-4386-af24-a165fb04165b,21,,,"[9.0, 49.0]",8658,0,,-0.06241881,,,Right Foot,,,,"[73.0, 45.0]",,High Pass,64.12488,Incomplete,Mario Mandžukić,,,,1,From Kick Off,Danijel Subašić,Goalkeeper,2,Croatia,"['154084ad-dd66-4369-983b-095f7943c203', '1a77ea7f-a2b1-4a64-966a-e5be82ba3c79', 'd6184de7-e045-41f1-acc2-4ada854e90fb']",9,,,,,,,,,,,,,,,Croatia,00:00:09.400,Pass,True
11,,,,,,,,,,,3.053,,,,,,,,,,,,,d6184de7-e045-41f1-acc2-4ada854e90fb,24,,,"[48.0, 50.0]",8658,0,True,1.5707964,,,,,,,"[48.0, 60.0]",,High Pass,10.0,Incomplete,,,,Recovery,1,From Kick Off,Raphaël Varane,Right Center Back,2,Croatia,"['395527d3-4a33-46a3-ac4f-ac84cc71c41a', '3b539679-116a-442c-be03-9ad534a23d02', '8e15fe37-fe08-4386-af24-a165fb04165b']",13,,,,,,,,,,,,,,,France,00:00:13.627,Pass,True
12,,,,,,,,,,,1.026,,,,,,,,,,,,,3b539679-116a-442c-be03-9ad534a23d02,25,,,"[73.0, 21.0]",8658,0,,2.819842,,,Right Foot,,,,"[61.0, 25.0]",,Ground Pass,12.649111,,Ivan Rakitić,,,Recovery,1,From Kick Off,Ivan Perišić,Left Wing,2,Croatia,"['0435a356-19a2-46c2-a9aa-c37ff87d0ce4', 'd6184de7-e045-41f1-acc2-4ada854e90fb']",16,,,,,,,,,,,,,,,Croatia,00:00:16.680,Pass,
13,,,,,,,,,,,0.759,,,,,,,,,,,,,820270c5-644c-40d7-98d6-ad68b172aabc,29,,,"[60.0, 18.0]",8658,0,,-1.1071488,,,Left Foot,,,,"[68.0, 2.0]",,Ground Pass,17.888544,,Ivan Strinić,,,,1,From Kick Off,Ivan Rakitić,Left Center Midfield,2,Croatia,"['e350a327-f951-4e91-84b5-c4c6f990ce39', 'fa30f77f-fd17-4fac-96f4-89ad44f11968']",19,,,,,,,,,,,,,,,Croatia,00:00:19.360,Pass,True
14,,,,,,,,,,,1.96,,,,,,,,,,,,,e5e868f7-ad48-4403-bb7a-328b34dd01a2,32,,,"[69.0, 2.0]",8658,0,,1.7294515,,,Right Foot,,,,"[65.0, 27.0]",,Ground Pass,25.317978,,Marcelo Brozović,,,,1,From Kick Off,Ivan Strinić,Left Back,2,Croatia,['9c44218c-a839-4913-8158-0711733b9764'],20,,,,,,,,,,,,,,,Croatia,00:00:20.120,Pass,
15,,,,,,,,,,,0.613,,,,,,,,,,,,,3ec633c6-1d08-4120-8028-7ea556a61db9,36,,,"[69.0, 24.0]",8658,0,,-2.55359,,,Right Foot,,,,"[66.0, 22.0]",,Ground Pass,3.6055512,,Ivan Perišić,,,,1,From Kick Off,Marcelo Brozović,Center Defensive Midfield,2,Croatia,"['93c7b01f-16a1-4d18-a41b-f5e34b77027d', 'df139a0c-aea2-4da3-a300-47dc5363583c']",23,,,,,,,,,,,,,,,Croatia,00:00:23.547,Pass,True
16,,,,,,,,,,,1.133,,,,,,,,,,,,,0f1da071-2f57-4193-b99e-df1b2364d0e9,39,,,"[63.0, 21.0]",8658,0,,2.896614,,,Left Foot,,,,"[51.0, 24.0]",,Ground Pass,12.369317,,Domagoj Vida,,,,1,From Kick Off,Ivan Perišić,Left Wing,2,Croatia,['5d411b3e-5b4f-4cac-8c7a-45687edbdb3a'],25,,,,,,,,,,,,,,,Croatia,00:00:25.107,Pass,
17,,,,,,,,,,,0.653,,,,,,,,,,,,,597874a9-eae4-4593-968a-671d2b6b365a,42,,,"[49.0, 30.0]",8658,0,,0.4048918,,,Right Foot,,,,"[56.0, 33.0]",,Ground Pass,7.615773,,Luka Modrić,,,,1,From Kick Off,Domagoj Vida,Left Center Back,2,Croatia,['a28003a0-ec35-4abb-89c7-7eb5e061ff57'],27,,,,,,,,,,,,,,,Croatia,00:00:27.267,Pass,
18,,,,,,,,,,,1.08,,,,,,,,,,,,,32b1c714-3efd-48d5-9b41-de7f35591856,44,,,"[56.0, 33.0]",8658,0,,-2.8501358,,,Right Foot,,,,"[46.0, 30.0]",,Ground Pass,10.440307,,Domagoj Vida,,,,1,From Kick Off,Luka Modrić,Right Center Midfield,2,Croatia,['3e39f2b1-8346-45f1-a419-ba988fee0960'],27,,,,,,,,,,,,,,,Croatia,00:00:27.920,Pass,
19,,,,,,,,,,,1.213,,,,,,,,,,,,,353643c7-d92d-477e-9647-5bd41462a9ff,47,,,"[48.0, 27.0]",8658,0,,-1.1071488,,,Right Foot,,,,"[53.0, 17.0]",,Ground Pass,11.18034,,Ivan Rakitić,,,,1,From Kick Off,Domagoj Vida,Left Center Back,2,Croatia,['ef8132b3-a10e-468e-a0c5-49738b35a35e'],29,,,,,,,,,,,,,,,Croatia,00:00:29.427,Pass,
20,,,,,,,,,,,1.693,,,,,,,,,,,,,d6a8b0f6-28fe-4d76-924f-1ca69a8a48fe,51,,,"[47.0, 17.0]",8658,0,,2.4668517,,,Right Foot,,,,"[37.0, 25.0]",,Ground Pass,12.806249,,Domagoj Vida,,,,1,From Kick Off,Ivan Rakitić,Left Center Midfield,2,Croatia,['2896490b-102e-49d8-a23e-8fa43fd652ee'],31,,,,,,,,,,,,,,,Croatia,00:00:31.747,Pass,
21,,,,,,,,,,,0.92,,,,,,,,,,,,,dcf59025-fb40-4f3f-9fc5-2e5bc77a3f3f,54,,,"[37.0, 26.0]",8658,0,,1.6756732,,,Left Foot,,,,"[35.0, 45.0]",,Ground Pass,19.104973,,Dejan Lovren,,,,1,From Kick Off,Domagoj Vida,Left Center Back,2,Croatia,['15f22c8b-9d2f-4256-a3cd-35d7391cd2e0'],34,,,,,,,,,,,,,,,Croatia,00:00:34.560,Pass,
22,,,,,,,,,,,2.013,,,,,,,,,,,,,8c2a8216-f64a-4681-af7a-ab33e6deec96,57,,,"[40.0, 49.0]",8658,0,,-1.1309538,,,Right Foot,,,,"[56.0, 15.0]",,Ground Pass,37.576588,,Ivan Rakitić,,,,1,From Kick Off,Dejan Lovren,Right Center Back,2,Croatia,['d98f59bd-34d9-46e8-8ce6-abb687858806'],38,,,,,,,,,,,,,,,Croatia,00:00:38.627,Pass,
23,,,,,,,,,,,1.213,,,,,,,,,,,,,b1aeccda-8231-42ed-9545-9c66292c38e1,61,,,"[55.0, 12.0]",8658,0,,0.5191461,,,Right Foot,,,,"[69.0, 20.0]",,Ground Pass,16.124516,,Ivan Perišić,,,,1,From Kick Off,Ivan Rakitić,Left Center Midfield,2,Croatia,"['505eb7ba-e1d6-4325-95f5-69959f840ecb', 'dac48b78-06ff-4621-8bb8-ede562c45997']",41,,,,,,,,,,,,,,,Croatia,00:00:41.387,Pass,True
24,,,,,,,,,,,1.4,,,,,,,,,,,,,95f14d96-c748-411a-ab65-e6de890e0651,66,,,"[49.0, 80.0]",8658,0,,-1.7273982,,,,,,,"[46.0, 61.0]",,Low Pass,19.235384,,"N""Golo Kanté",,,Throw-in,1,From Throw In,Benjamin Pavard,Right Back,3,France,['380e5930-e955-4526-9fc4-ebaed34a8303'],54,,,,,,,,,,,,,,,France,00:00:54.747,Pass,
25,,,,,,,,,,,2.68,,,,,,,,,,,,,80813884-4cf0-494d-aa5f-cd524a95d240,70,,,"[65.0, 64.0]",8658,0,,1.3734008,,,Right Foot,,,,"[66.0, 69.0]",,High Pass,5.0990195,Incomplete,Paul Pogba,,,,1,From Throw In,"N""Golo Kanté",Left Defensive Midfield,3,France,"['3cd35756-c5da-4263-8cce-0f627bcf729b', 'cb987aea-8eff-494e-81e1-75a16facf32f', 'fdcd0ec9-822b-4d54-873d-ed9155e2580d']",56,,,,,,,,,,,,,,,France,00:00:56.507,Pass,True
26,,,,,,,,,,,0.92,,,,,,,,,,,,,fdcd0ec9-822b-4d54-873d-ed9155e2580d,72,,,"[55.0, 12.0]",8658,0,,2.6642473,,,Head,,,,"[26.0, 27.0]",,High Pass,32.649654,,Ivan Perišić,,,Recovery,1,From Throw In,Marcelo Brozović,Center Defensive Midfield,3,France,"['80813884-4cf0-494d-aa5f-cd524a95d240', 'ada922c8-2c60-418a-977a-c1be90c00ad5']",59,,,,,,,,,,,,,,,Croatia,00:00:59.187,Pass,
27,,,,,,,,,,,0.8,,,,,,,,,,,,,26df8a76-3a4e-435e-b6f3-aa941d69ea19,74,,,"[61.0, 6.0]",8658,1,,2.4668517,,,Right Foot,,,,"[56.0, 10.0]",,Low Pass,6.4031243,Incomplete,Ivan Rakitić,,,,1,From Throw In,Ivan Perišić,Left Wing,3,France,"['85c481d6-f1b2-4fa1-b71b-e783b3441e25', 'e3332f82-3e81-4cc3-bf11-a588f880894e']",0,,,,,,,,,,,,,,,Croatia,00:01:00.107,Pass,
28,,,,,,,,,,,0.56,,,,,,,,,,,,,6a2fe4f0-d5cf-4628-9752-fb57e2b35516,78,,,"[63.0, 73.0]",8658,1,,1.2490457,,,Left Foot,,,,"[65.0, 79.0]",,Ground Pass,6.3245554,,Kylian Mbappé Lottin,,,,1,From Throw In,Antoine Griezmann,Right Center Forward,3,France,['021244ed-a8a3-47a5-87c3-412987d42cc4'],1,,,,,,,,,,,,,,,France,00:01:01.947,Pass,
29,,,,,,,,,,,4.2,,,,,,,,,,,,,cbdbd46a-512b-4b73-b84a-7a9cd146d54d,84,,,"[58.0, 79.0]",8658,1,,-2.8387077,,,,,,,"[26.0, 69.0]",,Low Pass,33.526108,,Raphaël Varane,,,Throw-in,1,From Throw In,Benjamin Pavard,Right Back,4,France,['c451b65c-24a5-4be3-ad64-00632a437b9b'],10,,,,,,,,,,,,,,,France,00:01:10.467,Pass,
30,,,,,,,,,,,2.52,,,,,,,,,,,,,246e34e4-e17f-4727-8c66-c025c9435353,87,,,"[26.0, 69.0]",8658,1,,-2.176341,,,Left Foot,,,,"[8.0, 43.0]",,Ground Pass,31.622776,,Hugo Lloris,,,,1,From Throw In,Raphaël Varane,Right Center Back,4,France,"['23a6cdc7-4c37-4833-a907-705dba6db745', '503fd2d5-90b6-4bce-aef3-5cbb65c79d26']",14,,,,,,,,,,,,,,,France,00:01:14.667,Pass,True
31,,,,,,,,,,,1.373,,,,,,,,,,,,,6df42e96-2ed0-4621-9809-a1171bd8a571,90,,,"[8.0, 43.0]",8658,1,,-0.9048271,,,Left Foot,,,,"[19.0, 29.0]",,Ground Pass,17.804493,,Samuel Yves Umtiti,,,,1,From Throw In,Hugo Lloris,Goalkeeper,4,France,['73bf534e-2d55-41e0-b0b5-14ca40b148df'],17,,,,,,,,,,,,,,,France,00:01:17.227,Pass,
32,,,,,,,,,,,1.32,,,,,,,,,,,,,fc5d2669-4755-4067-8442-5c9c3c1f2ded,97,,,"[41.0, 30.0]",8658,1,,-0.13255154,,,Left Foot,,,,"[56.0, 28.0]",,Ground Pass,15.132746,,Blaise Matuidi,,,,1,Regular Play,Samuel Yves Umtiti,Left Center Back,5,France,['d589857f-6cb7-487f-a45d-236192e1b930'],36,,,,,,,,,,,,,,,France,00:01:36.867,Pass,
33,,,,,,,,,,,1.52,,,,,,,,,,,,,2640d3ec-301b-4986-933a-232c06dfe356,101,,,"[55.0, 27.0]",8658,1,,-2.896614,,,Right Foot,,,,"[39.0, 23.0]",,Ground Pass,16.492422,,Samuel Yves Umtiti,,,,1,Regular Play,Blaise Matuidi,Left Midfield,5,France,"['79652516-9e3c-4d14-aea4-80b9593c1969', 'f44395fa-fd05-4f33-8c7c-bb5b4a4d83b3']",39,,,,,,,,,,,,,,,France,00:01:39.027,Pass,True
34,,,,,,,,,,,1.093,,,,,,,,,,,,,ae49795d-e9d3-4fce-b196-103c5a62d5cb,104,,,"[42.0, 25.0]",8658,1,,0.037020117,,,Left Foot,,,,"[69.0, 26.0]",,Ground Pass,27.018513,,Olivier Giroud,,,,1,Regular Play,Samuel Yves Umtiti,Left Center Back,5,France,['f52dcb98-3cf6-488d-b19d-93ba721de7ca'],41,,,,,,,,,,,,,,,France,00:01:41.787,Pass,
35,,,,,,,,,,,0.559,,,,,,,,,,,,,dccb8943-d030-4eb0-8019-60788e19ae76,106,,,"[69.0, 26.0]",8658,1,,3.1415927,,,Left Foot,,,,"[65.0, 26.0]",,Low Pass,4.0,,Blaise Matuidi,,,,1,Regular Play,Olivier Giroud,Left Center Forward,5,France,['fbad1923-3883-44ad-8b4c-14ba9ed23f58'],42,,,,,,,,,,,,,,,France,00:01:42.880,Pass,
36,,,,,,,,,,,2.0,,,,,,,,,,,,,39ca8d7a-2a51-4239-9b0d-ff23f69ea881,108,,,"[65.0, 26.0]",8658,1,,2.2455373,,,Head,,,,"[61.0, 31.0]",,Low Pass,6.4031243,,Olivier Giroud,,,,1,Regular Play,Blaise Matuidi,Left Midfield,5,France,['18b3d74d-7c49-446f-9c49-3abcad6ec4c1'],43,,,,,,,,,,,,,,,France,00:01:43.440,Pass,
37,,,,,,,,,,,1.666,,,,,,,,,,,,,466df2db-28d5-4964-bbe6-561f2e3707b8,110,,,"[61.0, 31.0]",8658,1,,2.3259008,,,Right Foot,,,,"[45.0, 48.0]",,Ground Pass,23.345236,,Raphaël Varane,,,,1,Regular Play,Olivier Giroud,Left Center Forward,5,France,['894e309a-35e5-421e-8eec-19051217f512'],45,,,,,,,,,,,,,,,France,00:01:45.440,Pass,
38,,,,,,,,,,,2.693,,,,,,,,,,,,,1ce09bac-90d4-4b7e-9b5b-a29ba36c0b42,113,,,"[45.0, 48.0]",8658,1,,1.0636978,,,Right Foot,,,,"[55.0, 66.0]",,Ground Pass,20.59126,,Paul Pogba,,,,1,Regular Play,Raphaël Varane,Right Center Back,5,France,['ea093b02-5c79-4e4d-8fa7-9f44c70cf0c3'],47,,,,,,,,,,,,,,,France,00:01:47.107,Pass,
39,,,,,,,,,,,2.44,,,,,,,,,,,,,7f217d18-90b1-4aa4-ac9d-d8b8f4160566,116,,,"[57.0, 76.0]",8658,1,,-0.2392316,,,Right Foot,,,,"[98.0, 66.0]",,High Pass,42.201897,Incomplete,Antoine Griezmann,,,,1,Regular Play,Paul Pogba,Right Defensive Midfield,5,France,"['3d13db55-9e99-48fd-8e67-a91c2da9f643', 'd0fb0e6f-d06f-4447-a8d7-92d4cf162ba4']",51,,,,,,,,,,,,,,,France,00:01:51.427,Pass,
40,,,,,,,,,,,1.72,,,,,,,,,,,,,3d13db55-9e99-48fd-8e67-a91c2da9f643,118,,,"[23.0, 15.0]",8658,1,,-0.94200003,,,Left Foot,,,,"[31.0, 4.0]",,Low Pass,13.601471,,Ivan Strinić,,,Recovery,1,Regular Play,Domagoj Vida,Left Center Back,6,Croatia,"['7f217d18-90b1-4aa4-ac9d-d8b8f4160566', 'e76bf094-6c62-446f-92cc-b5fe404fd254']",53,,,,,,,,,,,,,,,Croatia,00:01:53.867,Pass,
41,,,,,,,,,,,0.2,,,,,,,,,,,,,2ed5bb0f-587f-4ef3-b1b4-37f462b53d65,121,,,"[32.0, 3.0]",8658,1,,1.1071488,,,Left Foot,,,,"[33.0, 5.0]",,High Pass,2.236068,Incomplete,,,,,1,Regular Play,Ivan Strinić,Left Back,6,Croatia,"['23944706-f938-4ce4-a153-bfd777a66d5b', 'a92c9635-0333-4647-95b5-1672a45dab2b']",55,,,,,,,,,,,,,,,Croatia,00:01:55.587,Pass,True
42,,,,,,,,,,,1.173,,,,,,,,,,,,,1a758637-e9a7-49ee-91bc-d655e509c701,125,,,"[37.0, 7.0]",8658,2,,-1.0303768,,,Right Foot,,,,"[40.0, 2.0]",,Ground Pass,5.8309517,,Ivan Strinić,,,,1,Regular Play,Marcelo Brozović,Center Defensive Midfield,7,Croatia,"['e8c9adcb-5dbb-44dc-83bb-99b94cfadb28', 'f2c8c1c5-721b-4257-902d-6365e8908a86']",9,,,,,,,,,,,,,,,Croatia,00:02:09.907,Pass,True
43,,,,,,,,,,,1.56,,,,,,,,,,,,,a2a39c35-0257-47bc-95ed-860320da254f,128,,,"[42.0, 2.0]",8658,2,,0.08314123,,,Left Foot,,,,"[66.0, 4.0]",,High Pass,24.083189,,Mario Mandžukić,,,,1,Regular Play,Ivan Strinić,Left Back,7,Croatia,['45d50190-6ac4-497e-816e-98a606db1117'],11,,,,,,,,,,,,,,,Croatia,00:02:11.507,Pass,
44,,,,,,,,,,,1.32,,,,,,,,,,,,,9e3d4444-fedc-42dd-937e-c4f1595a5793,130,,,"[68.0, 4.0]",8658,2,,1.5707964,,,Head,,,,"[68.0, 28.0]",,High Pass,24.0,,Ante Rebić,,,,1,Regular Play,Mario Mandžukić,Center Forward,7,Croatia,['a72f8d87-3d07-430c-85f0-3118b3a1b864'],13,,,,,,,,,,,,,,,Croatia,00:02:13.067,Pass,
45,,,,,,,,,,,2.28,,,,,,,,,,,,,71c7bc4d-cba2-406b-907e-ee14b4c8ca6d,139,,,"[74.0, 79.0]",8658,2,,-2.819842,,,,,,,"[62.0, 75.0]",,High Pass,12.649111,Incomplete,Benjamin Pavard,,,Throw-in,1,From Throw In,Kylian Mbappé Lottin,Right Midfield,8,France,"['384ea62c-9e19-4be4-8828-29af83c11a8c', '46d0b49a-a4f6-4761-836e-19ae84922c95']",42,,,,,,,,,,,,,,,France,00:02:42.747,Pass,
46,,,,,,,,,,,0.84,,,,,,,,,,,,,5cd0cd0b-4703-4c5a-8a92-dd1d465c9a69,148,,,"[2.0, 62.0]",8658,2,,1.2998495,,,Right Foot,,,,"[7.0, 80.0]",,Ground Pass,18.681541,Out,,,,,1,From Throw In,Samuel Yves Umtiti,Left Center Back,8,France,['3940d2b1-2b6f-4296-9cb5-f095e2c67cc8'],53,,,,,,,,,,,,,,,France,00:02:53.507,Pass,True
47,,,,,,,,,,,1.587,,,,,,,,,,,,,f9c00b1a-7fb9-417f-9cb8-14194df288b5,149,,,"[111.0, 1.0]",8658,3,,1.4410938,,,,,,,"[114.0, 24.0]",,High Pass,23.194826,,Mario Mandžukić,,,Throw-in,1,From Throw In,Ivan Strinić,Left Back,9,Croatia,['aacf8180-69ef-4233-a8f1-7e603512ea64'],15,,,,,,,,,,,,,,,Croatia,00:03:15.680,Pass,
48,,,,,,,,,,,2.52,,,,,,,,,,,,,13912fc3-3aa9-4e53-adc3-8080ce62ffd7,151,,,"[115.0, 23.0]",8658,3,,-2.3561945,,,Head,,,,"[109.0, 17.0]",,High Pass,8.485281,Incomplete,Ivan Rakitić,,,,1,From Throw In,Mario Mandžukić,Center Forward,9,Croatia,"['1b872aac-01c2-4854-aeea-58dca0e1be8f', 'd54b31af-847e-42f8-8359-31fd4ddccaca']",17,,,,,,,,,,,,,,,Croatia,00:03:17.267,Pass,
49,,,,,,,,,,,3.6,,,,,,,,,,,,,d54b31af-847e-42f8-8359-31fd4ddccaca,153,,,"[12.0, 64.0]",8658,3,,0.5191461,,,Right Foot,,,,"[40.0, 80.0]",,High Pass,32.24903,Out,,,,Recovery,1,From Throw In,Kylian Mbappé Lottin,Right Midfield,9,Croatia,['13912fc3-3aa9-4e53-adc3-8080ce62ffd7'],19,,,,,,,,,,,,,,,France,00:03:19.787,Pass,
