minute,second,teamId,x,y,period,type,outcome,playerId,endX,endY
3,58,Manchester United,58.3,71.8,FirstHalf,Pass,Successful,2,66.1,79.3
4,2,Manchester United,69.6,80.8,FirstHalf,Pass,Successful,6,78.2,4.7
4,7,Manchester United,77.8,18.5,FirstHalf,Pass,Successful,29,75.8,32.8
4,11,Manchester United,74.1,39.1,FirstHalf,Pass,Successful,11,67.6,43.4
4,13,Manchester United,67.3,46,FirstHalf,Pass,Successful,6,68,86.2
4,17,Manchester United,67.8,83,FirstHalf,Pass,Successful,23,75.1,93.5
4,19,Manchester United,75.1,93.5,FirstHalf,Pass,Unsuccessful,10,81.3,92.3
4,20,Villarreal,22.1,8.6,FirstHalf,Interception,Successful,8,,
4,21,Villarreal,20.9,5.2,FirstHalf,BallRecovery,Successful,8,,
4,21,Villarreal,23.5,4.6,FirstHalf,TakeOn,Unsuccessful,8,,
4,24,Manchester United,65.1,98.9,FirstHalf,BallRecovery,Successful,2,,
4,27,Manchester United,61.8,98,FirstHalf,Pass,Successful,2,49,85.7
4,28,Manchester United,48.8,85.6,FirstHalf,Pass,Successful,6,41.8,64.6
4,32,Manchester United,43.8,61.4,FirstHalf,Pass,Successful,3,45.7,80.5
4,35,Manchester United,47.8,80,FirstHalf,Pass,Successful,2,64.8,96.2
4,40,Manchester United,71.9,94.5,FirstHalf,Pass,Successful,23,73.2,99
4,45,Manchester United,69.1,90.2,FirstHalf,Pass,Successful,10,74.5,11.9
4,49,Manchester United,73.1,11.6,FirstHalf,Pass,Successful,29,72.4,17.6
4,50,Manchester United,72.4,17.6,FirstHalf,Pass,Successful,7,63.6,13.4
4,53,Manchester United,64.4,20.3,FirstHalf,Pass,Successful,39,63.4,66.3
4,58,Manchester United,71.6,70.6,FirstHalf,Pass,Successful,2,87.8,95.7
4,59,Manchester United,87.8,95.7,FirstHalf,Pass,Successful,23,91.5,56.9
5,0,Manchester United,91.5,56.9,FirstHalf,BallTouch,Unsuccessful,7,,
5,3,Villarreal,0,0,FirstHalf,ShieldBallOpp,Successful,8,,
5,15,Villarreal,3.5,41.6,FirstHalf,Pass,Successful,13,7.2,69.1
5,18,Villarreal,15.6,84.4,FirstHalf,Pass,Successful,4,48.2,91.8
5,22,Villarreal,44,76,FirstHalf,Pass,Unsuccessful,9,45,74.1
5,22,Manchester United,56.5,30.7,FirstHalf,BlockedPass,Successful,3,,
5,25,Villarreal,34.5,85.4,FirstHalf,Aerial,Successful,5,,
5,25,Manchester United,65.5,14.6,FirstHalf,Aerial,Unsuccessful,11,,
5,25,Villarreal,35.2,88.4,FirstHalf,Pass,Successful,5,42.5,98.9
5,27,Villarreal,42.5,98.9,FirstHalf,Pass,Unsuccessful,24,72.8,88
5,32,Manchester United,30.2,17.3,FirstHalf,BallRecovery,Successful,3,,
5,34,Manchester United,29.7,27.3,FirstHalf,Pass,Successful,3,36.8,38
5,36,Manchester United,34.6,48.8,FirstHalf,Pass,Successful,6,47.4,91.4
5,42,Manchester United,55.3,93,FirstHalf,Pass,Successful,23,58.3,97.4
5,43,Manchester United,58.3,97.4,FirstHalf,Pass,Successful,10,36.3,72
5,49,Manchester United,36.7,65.2,FirstHalf,Pass,Successful,2,33.4,38.2
5,52,Manchester United,34.5,39.2,FirstHalf,Pass,Successful,3,37.2,70.2
5,57,Manchester United,46.6,74.8,FirstHalf,Pass,Successful,2,66.2,97.4
6,0,Manchester United,65.4,96,FirstHalf,Pass,Successful,10,54.3,93.9
6,3,Manchester United,56.4,93.3,FirstHalf,Pass,Successful,23,42.2,72.7
6,8,Manchester United,42.2,69.4,FirstHalf,Pass,Successful,2,58.8,97.5
6,10,Manchester United,58.8,97.5,FirstHalf,Pass,Successful,23,65.4,96.8
6,11,Manchester United,65.4,96.8,FirstHalf,Pass,Successful,18,63.3,87.8
6,12,Manchester United,63.3,87.8,FirstHalf,Pass,Unsuccessful,23,88,85.6
6,15,Villarreal,14.9,12.2,FirstHalf,BallTouch,Unsuccessful,4,,
6,15,Manchester United,87.9,85.1,FirstHalf,Pass,Successful,7,85.4,87.4
6,19,Manchester United,88,68.4,FirstHalf,Pass,Successful,10,75.1,41.3
6,21,Manchester United,75.3,41.3,FirstHalf,MissedShots,Successful,39,,
6,46,Villarreal,4.5,43.7,FirstHalf,Pass,Successful,13,8.5,73.2
6,48,Villarreal,8.5,73.2,FirstHalf,Pass,Successful,4,14.8,96.2
6,52,Villarreal,17.8,94.5,FirstHalf,Pass,Unsuccessful,24,29.2,85.1
6,53,Manchester United,66.6,16.1,FirstHalf,BallRecovery,Successful,39,,
6,54,Manchester United,66.6,18.2,FirstHalf,Pass,Successful,39,69.8,30.3
6,55,Manchester United,69.8,30.3,FirstHalf,Pass,Successful,18,74.4,18.8
6,57,Manchester United,74.3,18.2,FirstHalf,Pass,Successful,11,79.4,5.5
6,59,Manchester United,79.6,6.7,FirstHalf,Pass,Successful,29,80.8,26.4
7,1,Manchester United,84.3,23.3,FirstHalf,Pass,Successful,18,86,20
7,1,Manchester United,86,21.5,FirstHalf,BallTouch,Successful,11,,
7,2,Villarreal,14.5,74.8,FirstHalf,BallRecovery,Successful,5,,
7,2,Villarreal,14.5,74.8,FirstHalf,Pass,Successful,5,13.3,83.9
7,5,Villarreal,19,95.8,FirstHalf,TakeOn,Unsuccessful,24,,
7,5,Manchester United,81,4.2,FirstHalf,Tackle,Successful,29,,
7,32,Villarreal,20.3,100,FirstHalf,Pass,Successful,24,25.9,95.4
7,34,Villarreal,26.5,97.2,FirstHalf,Pass,Successful,14,27.4,89.3
7,35,Villarreal,27.4,89.3,FirstHalf,Pass,Successful,5,16.4,96
7,38,Villarreal,16.2,95.4,FirstHalf,Pass,Successful,24,9.4,79.3
7,41,Villarreal,15,84.5,FirstHalf,Pass,Unsuccessful,4,36.4,65.8
7,44,Manchester United,64.8,34.3,FirstHalf,BallRecovery,Successful,6,,
7,45,Manchester United,65.3,34.9,FirstHalf,Pass,Successful,6,72.8,54.2
7,47,Manchester United,75.2,58,FirstHalf,TakeOn,Unsuccessful,10,,
7,47,Villarreal,24.8,42,FirstHalf,Tackle,Unsuccessful,8,,
7,47,Manchester United,75.5,56.8,FirstHalf,BallTouch,Successful,10,,
7,48,Villarreal,27,32.5,FirstHalf,BallRecovery,Successful,30,,
7,49,Villarreal,27,32.5,FirstHalf,Pass,Successful,30,27.9,36.9
7,50,Villarreal,27.9,36.9,FirstHalf,BallTouch,Successful,8,,
10,11,Villarreal,29.1,49.7,FirstHalf,Pass,Unsuccessful,5,34.6,49.9
10,12,Manchester United,71.2,53.4,FirstHalf,BallTouch,Successful,18,,
10,14,Villarreal,51.7,51.9,FirstHalf,Pass,Successful,9,57.4,33.6
10,17,Villarreal,54.2,30.7,FirstHalf,Pass,Successful,7,33.5,31
10,21,Villarreal,27.3,37.4,FirstHalf,Pass,Successful,3,23.2,60.9
10,24,Villarreal,24.4,67.8,FirstHalf,Pass,Successful,4,31.7,96.5
10,28,Villarreal,22.8,96,FirstHalf,Pass,Successful,24,9.1,77
10,32,Villarreal,8.1,74.5,FirstHalf,Pass,Successful,4,2.7,59.7
10,33,Villarreal,2.7,59.7,FirstHalf,Pass,Unsuccessful,13,19.1,93.3
10,36,Manchester United,79.6,8.7,FirstHalf,Aerial,Successful,29,,
10,36,Villarreal,20.4,91.3,FirstHalf,Aerial,Unsuccessful,24,,
10,36,Manchester United,78.4,10.7,FirstHalf,Pass,Unsuccessful,29,75.2,15.5
10,38,Villarreal,19.2,87.1,FirstHalf,Pass,Successful,14,14.7,75.6
10,39,Villarreal,14.6,75.6,FirstHalf,Pass,Successful,4,20.2,97.7
10,41,Villarreal,20.2,97.7,FirstHalf,Pass,Successful,24,31,97.8
10,44,Villarreal,31,97.8,FirstHalf,Pass,Unsuccessful,9,29.9,86.2
10,46,Manchester United,67.4,12,FirstHalf,BallRecovery,Successful,39,,
10,46,Manchester United,67.4,12,FirstHalf,Pass,Successful,39,63.4,31.6
10,48,Manchester United,64.9,34.3,FirstHalf,Pass,Successful,6,93.7,17.1
10,53,Manchester United,96.6,23.9,FirstHalf,Pass,Unsuccessful,11,95.9,34.9
10,53,Villarreal,3.4,64.3,FirstHalf,Clearance,Successful,25,0,71.1
10,54,Villarreal,3.4,64.2,FirstHalf,CornerAwarded,Unsuccessful,25,,
10,54,Manchester United,96.6,35.8,FirstHalf,CornerAwarded,Successful,11,,
11,,Manchester United,95.8,69.1,FirstHalf,OffsideGiven,Unsuccessful,6,,
11,24,Manchester United,99.5,0.5,FirstHalf,Pass,Unsuccessful,23,93.2,46.4
11,25,Villarreal,6.1,57.7,FirstHalf,Clearance,Successful,7,21.8,37.3
11,27,Manchester United,73.7,60.8,FirstHalf,Pass,Successful,10,71.4,36.6
11,30,Manchester United,71.4,36.6,FirstHalf,OffsidePass,Successful,18,95.8,69.1
11,30,Villarreal,14.4,54.4,FirstHalf,OffsideProvoked,Successful,25,,
12,15,Villarreal,15.9,38.8,FirstHalf,Pass,Unsuccessful,13,63.6,31.6
12,18,Manchester United,35.8,67.5,FirstHalf,Aerial,Successful,6,,
12,18,Villarreal,64.2,32.5,FirstHalf,Aerial,Unsuccessful,7,,
12,18,Manchester United,35.1,66.6,FirstHalf,Pass,Successful,6,39,64.8
12,20,Manchester United,39,64.8,FirstHalf,Pass,Successful,18,32.8,72.9
12,21,Manchester United,32.9,73.5,FirstHalf,BallRecovery,Successful,6,,
12,22,Manchester United,36,87.8,FirstHalf,Pass,Successful,6,25.7,90.2
12,24,Manchester United,26.9,87.5,FirstHalf,Pass,Successful,23,16.3,45.1
12,31,Manchester United,23.5,35.5,FirstHalf,Pass,Successful,3,27.8,66.1
12,35,Manchester United,31,73,FirstHalf,Pass,Successful,2,33.8,92.4
12,37,Manchester United,34.2,93.8,FirstHalf,Pass,Successful,23,46.1,97.5
12,39,Manchester United,46,97.4,FirstHalf,Pass,Successful,10,21.7,73.6
12,43,Manchester United,21.9,73.2,FirstHalf,Pass,Successful,2,28.9,57.2
12,45,Manchester United,27.1,57,FirstHalf,Pass,Successful,39,20.6,31.3
12,46,Manchester United,20.6,31.3,FirstHalf,Pass,Successful,3,8,43.9
12,48,Manchester United,8,43.9,FirstHalf,Pass,Successful,1,43,70
12,50,Manchester United,43,70,FirstHalf,Pass,Successful,18,41,96.9
12,54,Manchester United,44.4,96.2,FirstHalf,Pass,Unsuccessful,23,46.9,93.5
12,54,Villarreal,52.5,4.3,FirstHalf,BlockedPass,Successful,30,,
13,0,Manchester United,57.9,100,FirstHalf,Pass,Successful,23,36.5,88.1
13,4,Manchester United,36,86.8,FirstHalf,Pass,Successful,2,44.1,59.7
13,7,Manchester United,46.2,57.3,FirstHalf,Pass,Successful,39,55.8,95.9
13,11,Manchester United,57.9,94.4,FirstHalf,Pass,Successful,23,72.1,89.6
13,13,Manchester United,72.1,89.6,FirstHalf,Pass,Successful,10,65.1,92.3
13,14,Manchester United,65.1,92.3,FirstHalf,Pass,Unsuccessful,18,67.4,89.7
13,14,Villarreal,28,9.1,FirstHalf,BallRecovery,Successful,25,,
13,15,Villarreal,28,9.1,FirstHalf,Pass,Successful,25,21.2,12.9
13,17,Villarreal,21.2,12.2,FirstHalf,Pass,Successful,3,31.6,10.7
13,18,Villarreal,32,10.7,FirstHalf,Pass,Successful,25,40.1,9.5
13,20,Villarreal,40,10.1,FirstHalf,Aerial,Successful,30,,
13,20,Manchester United,60,89.9,FirstHalf,Aerial,Unsuccessful,23,,
13,20,Villarreal,40.1,9.5,FirstHalf,Pass,Successful,30,46.2,9.4
13,20,Villarreal,46.2,9.4,FirstHalf,Pass,Unsuccessful,7,43.7,11.6
13,21,Villarreal,42.4,13.8,FirstHalf,Foul,Successful,,,
13,21,Manchester United,57.6,86.2,FirstHalf,Foul,Unsuccessful,6,,
13,53,Villarreal,42.3,11.6,FirstHalf,Pass,Successful,3,37.1,96.2
13,59,Villarreal,38.3,96.2,FirstHalf,Pass,Successful,24,46.8,96.8
14,0,Villarreal,46.8,96.8,FirstHalf,Pass,Successful,14,45.9,88.9
14,2,Villarreal,56.2,88.8,FirstHalf,Foul,Successful,24,,
14,2,Manchester United,43.8,11.2,FirstHalf,Foul,Unsuccessful,3,,
14,38,Villarreal,56.4,94.7,FirstHalf,Pass,Successful,5,78.6,96.8
14,42,Villarreal,86.8,94.5,FirstHalf,Pass,Unsuccessful,24,87.7,91.2
14,42,Manchester United,11.2,9.5,FirstHalf,Clearance,Successful,29,,
14,43,Villarreal,87.9,92.4,FirstHalf,CornerAwarded,Successful,24,,
14,43,Manchester United,12.1,7.6,FirstHalf,CornerAwarded,Unsuccessful,29,,
15,11,Villarreal,99.5,99.5,FirstHalf,Pass,Successful,30,97,96.8
15,13,Villarreal,97,96.8,FirstHalf,Pass,Successful,5,93.6,32.7
15,15,Villarreal,93.6,32.7,FirstHalf,MissedShots,Successful,14,,
15,36,Manchester United,4.7,50.4,FirstHalf,Pass,Unsuccessful,1,45.6,100
15,54,Villarreal,64.7,0,FirstHalf,Pass,Successful,8,74.7,5.6
15,55,Villarreal,74.7,5.6,FirstHalf,Pass,Successful,7,81,12.3
16,3,Villarreal,89.6,3,FirstHalf,TakeOn,Unsuccessful,30,,
16,4,Manchester United,10.4,97,FirstHalf,Tackle,Successful,23,,
16,4,Manchester United,13.6,95.4,FirstHalf,BallRecovery,Successful,23,,
16,6,Manchester United,20.7,96.5,FirstHalf,Pass,Successful,23,29,92.9
16,8,Manchester United,30.2,86.4,FirstHalf,Foul,Successful,7,,
16,8,Villarreal,69.8,13.6,FirstHalf,Foul,Unsuccessful,3,,
17,12,Manchester United,30.4,80.8,FirstHalf,Pass,Successful,2,38.5,74.5
17,14,Manchester United,41,62.3,FirstHalf,Pass,Successful,6,41.6,35.1
17,20,Manchester United,55.7,31.2,FirstHalf,Pass,Successful,39,78.3,96.5
17,24,Manchester United,78.3,96,FirstHalf,Pass,Successful,10,72.6,93.8
17,26,Manchester United,76.8,86.9,FirstHalf,TakeOn,Unsuccessful,23,,
17,26,Villarreal,23.2,13.1,FirstHalf,Tackle,Successful,7,,
17,28,Villarreal,23.6,10.7,FirstHalf,BallRecovery,Successful,7,,
17,31,Villarreal,22.6,5.8,FirstHalf,Pass,Successful,7,28.4,25.9
17,33,Villarreal,28.4,25.9,FirstHalf,Pass,Successful,5,38.4,23.7
17,36,Villarreal,37.8,32.7,FirstHalf,Pass,Unsuccessful,9,37,41.6
17,37,Manchester United,64.3,57.8,FirstHalf,Interception,Successful,7,,
17,38,Manchester United,61.4,58.5,FirstHalf,BallRecovery,Successful,7,,
17,38,Manchester United,61.4,58.5,FirstHalf,Pass,Successful,7,48.2,57.2
17,40,Manchester United,48.2,57.2,FirstHalf,Pass,Successful,3,56.2,81.8
17,43,Manchester United,58.1,82.9,FirstHalf,Pass,Successful,23,67.5,96.3
17,44,Manchester United,67.5,96.3,FirstHalf,Pass,Successful,10,61,73.8
17,47,Manchester United,61.2,72.7,FirstHalf,Pass,Successful,6,87.2,94.8
17,51,Manchester United,87.4,91.6,FirstHalf,TakeOn,Unsuccessful,10,,
17,52,Villarreal,12.6,8.4,FirstHalf,Tackle,Unsuccessful,30,,
17,52,Manchester United,87.2,91.7,FirstHalf,BallTouch,Successful,10,,
17,53,Villarreal,24.5,8.2,FirstHalf,BallRecovery,Successful,30,,
17,55,Villarreal,23.6,9.1,FirstHalf,Pass,Unsuccessful,30,14.1,12.5
17,58,Manchester United,85.7,87.3,FirstHalf,TakeOn,Unsuccessful,7,,
17,58,Villarreal,14.3,12.7,FirstHalf,Tackle,Unsuccessful,7,,
18,0,Manchester United,91.7,86,FirstHalf,BallRecovery,Successful,7,,
18,0,Manchester United,91.9,86.3,FirstHalf,BallTouch,Unsuccessful,7,,
18,3,Villarreal,9.6,14.1,FirstHalf,BallRecovery,Successful,25,,
18,4,Villarreal,10.2,14.3,FirstHalf,Pass,Successful,25,37,25.8
18,9,Villarreal,39.3,25.2,FirstHalf,BallTouch,Unsuccessful,9,,
18,10,Manchester United,61.9,75.7,FirstHalf,BallRecovery,Successful,6,,
18,13,Manchester United,59.1,73.2,FirstHalf,Pass,Successful,6,59.4,90.5
18,16,Manchester United,61.1,91.1,FirstHalf,Pass,Successful,23,71.7,97.8
18,18,Manchester United,73.5,92.7,FirstHalf,Pass,Unsuccessful,18,88.4,58.4
18,20,Villarreal,10.7,46,FirstHalf,BallTouch,Successful,4,,
18,22,Villarreal,4.1,32.8,FirstHalf,KeeperPickup,Successful,13,,
18,30,Villarreal,8.3,42.7,FirstHalf,Pass,Successful,13,9.5,68.4
18,33,Villarreal,10.7,70.9,FirstHalf,Pass,Successful,4,19,93.9
18,37,Villarreal,20.1,96,FirstHalf,Pass,Unsuccessful,24,50.8,96.2
18,39,Manchester United,47.4,3.1,FirstHalf,Pass,Successful,3,79.9,10.6
18,42,Manchester United,80.6,10.9,FirstHalf,BallRecovery,Successful,11,,
18,46,Manchester United,90.1,3.5,FirstHalf,Pass,Successful,11,82.9,5
18,48,Manchester United,80.9,9.7,FirstHalf,Pass,Successful,29,73.5,6.4
18,54,Manchester United,67.7,33.7,FirstHalf,Pass,Successful,39,66.4,74.2
18,58,Manchester United,66.3,74.2,FirstHalf,Pass,Successful,23,72.5,88.1
19,1,Manchester United,70.9,87.7,FirstHalf,Pass,Successful,10,65.8,81.1
19,4,Manchester United,66.7,88.4,FirstHalf,Pass,Successful,23,66.3,97.2
19,5,Manchester United,66.3,96.9,FirstHalf,Pass,Successful,10,59.4,74.1
19,8,Manchester United,59.4,74.1,FirstHalf,Pass,Successful,2,69.5,74.5
19,9,Manchester United,69.5,74.5,FirstHalf,Pass,Successful,18,59.9,71.1
19,10,Manchester United,59.9,71.1,FirstHalf,Pass,Successful,2,64.3,87.5
19,15,Manchester United,67.8,82.1,FirstHalf,Pass,Successful,6,71.6,96.9
19,16,Manchester United,71.6,96.9,FirstHalf,Pass,Successful,23,67.2,83.2
19,18,Manchester United,64.8,79.4,FirstHalf,Pass,Successful,6,56.1,34.5
19,24,Manchester United,62.5,24,FirstHalf,Pass,Successful,3,69.5,4.1
19,26,Manchester United,69.9,5.2,FirstHalf,Pass,Successful,11,61.1,20.4
19,31,Manchester United,63.6,23.7,FirstHalf,Pass,Successful,3,76.4,5
19,34,Manchester United,77.2,7.6,FirstHalf,Pass,Successful,29,76.3,27.1
19,36,Manchester United,81.6,23.5,FirstHalf,Dispossessed,Successful,11,,
19,36,Villarreal,18.4,76.5,FirstHalf,Tackle,Unsuccessful,5,,
19,38,Manchester United,89.9,12.6,FirstHalf,Pass,Unsuccessful,29,91.9,53.6
19,39,Villarreal,8.2,45.2,FirstHalf,Aerial,Successful,3,,
19,39,Manchester United,91.8,54.8,FirstHalf,Aerial,Unsuccessful,18,,
19,39,Villarreal,8.2,43.9,FirstHalf,Clearance,Successful,3,17.7,24.4
19,42,Manchester United,85.6,75,FirstHalf,MissedShots,Successful,23,,
20,5,Villarreal,4.9,56,FirstHalf,Pass,Unsuccessful,13,56.1,25.3
20,8,Manchester United,42,72.2,FirstHalf,Aerial,Successful,23,,
20,8,Villarreal,58,27.8,FirstHalf,Aerial,Unsuccessful,7,,
20,8,Manchester United,40.2,69.7,FirstHalf,Pass,Successful,23,42.4,66.4
20,8,Manchester United,41,76.1,FirstHalf,BallTouch,Successful,2,,
20,9,Villarreal,56.8,29.2,FirstHalf,Foul,Successful,7,,
20,9,Manchester United,43.2,70.8,FirstHalf,Foul,Unsuccessful,23,,
20,41,Villarreal,60,29.7,FirstHalf,Pass,Unsuccessful,5,92.5,64.9
20,44,Manchester United,8.6,35.6,FirstHalf,Aerial,Successful,3,,
20,44,Villarreal,91.4,64.4,FirstHalf,Aerial,Unsuccessful,7,,
20,44,Manchester United,9.7,36.1,FirstHalf,Clearance,Successful,3,0,24.4
20,46,Villarreal,91,63.8,FirstHalf,CornerAwarded,Successful,5,,
20,46,Manchester United,9,36.2,FirstHalf,CornerAwarded,Unsuccessful,3,,
21,29,Villarreal,99.7,99.3,FirstHalf,Pass,Unsuccessful,5,95.2,52.4
21,30,Manchester United,4.9,49.4,FirstHalf,Clearance,Successful,39,22.2,61.4
21,34,Villarreal,80.1,38.6,FirstHalf,SavedShot,Successful,30,,
21,34,Manchester United,13.5,57.8,FirstHalf,Save,Successful,39,,
21,35,Villarreal,86.4,41.4,FirstHalf,CornerAwarded,Successful,30,,
21,35,Manchester United,13.6,58.6,FirstHalf,CornerAwarded,Unsuccessful,39,,
22,15,Villarreal,99.5,0.5,FirstHalf,Pass,Unsuccessful,5,92.8,31.9
22,15,Manchester United,8.7,65.2,FirstHalf,Clearance,Successful,18,36.9,74.4
22,19,Villarreal,66.7,26.1,FirstHalf,Pass,Unsuccessful,14,85.3,56.6
22,21,Manchester United,14.6,43.7,FirstHalf,Aerial,Successful,3,,
22,21,Villarreal,85.4,56.3,FirstHalf,Aerial,Unsuccessful,4,,
22,21,Manchester United,14.5,44,FirstHalf,Clearance,Successful,3,15.1,41.9
22,23,Villarreal,86,57.2,FirstHalf,Aerial,Successful,4,,
22,23,Manchester United,14,42.8,FirstHalf,Aerial,Unsuccessful,3,,
22,23,Villarreal,85.7,56,FirstHalf,Pass,Unsuccessful,4,88.3,60.6
22,23,Manchester United,11,43.5,FirstHalf,BallTouch,Successful,3,,
22,24,Manchester United,12.1,37.1,FirstHalf,Clearance,Successful,10,8.1,36.5
22,27,Manchester United,7.7,34.7,FirstHalf,Clearance,Successful,29,10.8,23.5
22,30,Villarreal,97.5,74.8,FirstHalf,Pass,Successful,9,92.7,53.9
