eventId,minute,second,teamId,x,y,playerId,type/displayName,type/value
41,3,0.0,833,24.6,43.7,125246.0,Pass,1
42,3,2.0,833,22.5,25.8,101130.0,Pass,1
32,3,6.0,65,23.0,82.6,23.0,Clearance,12
44,3,30.0,833,78.5,0.0,14085.0,Pass,1
35,3,31.0,65,9.4,88.7,18.0,Interception,8
36,3,32.0,65,6.9,92.0,18.0,BallRecovery,49
37,3,33.0,65,6.9,92.0,18.0,Pass,1
39,3,37.0,65,11.6,90.6,9.0,Foul,4
46,3,37.0,833,88.4,9.4,303800.0,Foul,4
40,3,52.0,65,18.4,88.1,23.0,Pass,1
41,3,53.0,65,32.1,47.0,4.0,Pass,1
42,3,56.0,65,43.7,70.5,23.0,Pass,1
43,4,1.0,65,47.5,39.7,16.0,Pass,1
44,4,3.0,65,55.4,5.0,28.0,Pass,1
45,4,6.0,65,40.0,30.0,4.0,Pass,1
46,4,9.0,65,44.4,70.6,23.0,Pass,1
47,4,11.0,65,53.0,58.1,5.0,Pass,1
48,4,16.0,65,53.6,34.3,4.0,Pass,1
49,4,20.0,65,55.3,62.6,23.0,Pass,1
50,4,22.0,65,59.9,87.7,7.0,Pass,1
51,4,26.0,65,51.0,43.3,4.0,Pass,1
52,4,28.0,65,51.0,15.2,28.0,Pass,1
53,4,31.0,65,57.0,12.5,11.0,Pass,1
47,4,33.0,833,39.1,83.6,316957.0,BallTouch,61
54,4,34.0,65,63.8,27.3,21.0,Pass,1
55,4,36.0,65,63.7,42.5,11.0,Pass,1
56,4,37.0,65,68.6,45.8,7.0,Pass,1
57,4,40.0,65,78.7,68.8,11.0,Pass,1
58,4,43.0,65,92.8,72.8,9.0,TakeOn,3
48,4,43.0,833,7.2,27.2,14085.0,Tackle,7
49,4,45.0,833,7.2,27.2,14085.0,CornerAwarded,6
59,4,45.0,65,92.8,72.8,9.0,CornerAwarded,6
60,5,10.0,65,99.5,99.5,11.0,Pass,1
61,5,13.0,65,95.7,51.5,4.0,MissedShots,13
52,5,50.0,833,4.9,50.7,109930.0,Pass,1
53,5,52.0,833,9.6,43.7,125246.0,Pass,1
54,5,53.0,833,35.8,54.6,133808.0,BallTouch,61
63,5,54.0,65,62.7,50.7,5.0,Pass,1
55,5,54.0,833,35.9,53.3,133808.0,BlockedPass,74
56,5,57.0,833,38.1,44.3,402086.0,Pass,1
57,5,59.0,833,45.4,28.6,133808.0,Dispossessed,50
64,5,59.0,65,54.6,71.4,16.0,Tackle,7
65,6,0.0,65,57.8,74.8,16.0,BallRecovery,49
66,6,4.0,65,64.1,57.5,16.0,Pass,1
67,6,7.0,65,66.7,34.0,11.0,Pass,1
68,6,12.0,65,68.5,46.6,16.0,Pass,1
69,6,13.0,65,64.3,64.6,5.0,Pass,1
70,6,14.0,65,68.9,70.8,9.0,Pass,1
71,6,15.0,65,67.7,68.7,5.0,Pass,1
72,6,18.0,65,68.1,49.7,9.0,Pass,1
73,6,25.0,65,63.6,40.0,4.0,Pass,1
74,6,26.0,65,62.5,67.5,23.0,Pass,1
75,6,28.0,65,63.7,41.6,4.0,Pass,1
76,6,32.0,65,60.6,64.8,23.0,Pass,1
77,6,34.0,65,61.4,37.1,4.0,Pass,1
78,6,36.0,65,70.1,43.9,7.0,BallTouch,61
79,6,37.0,65,67.6,44.5,5.0,Pass,1
80,6,38.0,65,70.2,35.8,11.0,Pass,1
81,6,40.0,65,79.3,16.5,7.0,Pass,1
82,6,42.0,65,90.6,12.3,28.0,Pass,1
59,7,5.0,833,4.6,48.1,109930.0,Pass,1
60,7,7.0,833,9.7,43.6,125246.0,Pass,1
61,7,13.0,833,42.2,25.4,14085.0,Pass,1
62,7,15.0,833,46.4,31.5,402086.0,Pass,1
63,7,19.0,833,74.5,7.0,273453.0,Pass,1
85,7,41.0,65,11.6,0.0,28.0,Pass,1
65,7,46.0,833,56.0,86.9,101130.0,Pass,1
87,7,50.0,65,18.7,33.4,4.0,Pass,1
66,7,55.0,833,59.6,23.2,273453.0,TakeOn,3
88,7,55.0,65,40.4,76.8,9.0,Challenge,45
67,7,55.0,833,59.8,21.2,273453.0,BallRecovery,49
68,7,56.0,833,59.2,21.8,273453.0,Pass,1
69,7,58.0,833,50.5,24.7,14085.0,Pass,1
70,8,2.0,833,47.3,31.9,125246.0,Pass,1
71,8,3.0,833,35.8,32.5,101130.0,Pass,1
72,8,5.0,833,40.9,66.1,316957.0,Pass,1
73,8,7.0,833,45.4,96.8,135098.0,Pass,1
74,8,9.0,833,55.9,96.6,133808.0,Pass,1
89,8,10.0,65,50.8,19.0,21.0,Dispossessed,50
75,8,10.0,833,49.2,81.0,135098.0,Tackle,7
90,8,12.0,65,44.0,32.7,5.0,Pass,1
76,8,18.0,833,32.6,28.0,101130.0,Pass,1
77,8,20.0,833,49.6,26.4,402086.0,Pass,1
78,8,21.0,833,55.8,4.4,14085.0,Pass,1
79,8,22.0,833,64.5,2.9,273453.0,Pass,1
80,8,24.0,833,72.2,14.4,14085.0,TakeOn,3
91,8,24.0,65,27.8,85.6,18.0,Challenge,45
81,8,26.0,833,82.8,16.1,14085.0,Pass,1
92,8,27.0,65,12.8,57.6,4.0,Clearance,12
93,8,28.0,65,21.6,58.7,5.0,Pass,1
82,8,32.0,833,61.0,61.6,135098.0,Pass,1
83,8,34.0,833,44.2,56.9,316957.0,Pass,1
84,8,36.0,833,41.5,30.7,101130.0,Pass,1
85,8,39.0,833,45.6,28.8,402086.0,Pass,1
86,8,41.0,833,38.9,30.1,101130.0,Pass,1
87,8,42.0,833,44.6,28.6,402086.0,Pass,1
88,8,43.0,833,61.0,13.1,14085.0,Pass,1
95,8,45.0,65,53.6,80.0,16.0,BallRecovery,49
96,8,45.0,65,53.6,80.0,16.0,Pass,1
97,8,51.0,65,91.4,72.7,21.0,BallTouch,61
89,8,52.0,833,5.8,35.7,101130.0,BallRecovery,49
90,8,52.0,833,5.7,36.4,101130.0,Pass,1
91,8,54.0,833,7.1,43.1,316957.0,Pass,1
92,8,56.0,833,8.8,26.1,273453.0,Dispossessed,50
98,8,56.0,65,91.2,73.9,9.0,Tackle,7
93,8,59.0,833,7.8,25.9,273453.0,Dispossessed,50
99,8,59.0,65,92.2,74.1,9.0,Tackle,7
94,9,0.0,833,9.6,27.9,273453.0,BallTouch,61
100,9,1.0,65,94.1,76.1,9.0,BallTouch,61
96,9,26.0,833,3.5,49.3,109930.0,Pass,1
97,9,27.0,833,11.7,51.0,125246.0,Pass,1
98,9,29.0,833,22.0,20.3,101130.0,Pass,1
99,9,32.0,833,61.9,23.0,303800.0,Pass,1
102,9,33.0,65,32.4,85.4,23.0,BallRecovery,49
103,9,33.0,65,30.8,83.0,23.0,Pass,1
104,9,39.0,65,8.8,63.4,1.0,Pass,1
105,9,45.0,65,35.0,41.5,4.0,Pass,1
106,9,50.0,65,44.6,74.4,23.0,Pass,1
107,9,54.0,65,54.9,37.7,4.0,Pass,1
108,9,58.0,65,57.1,51.8,7.0,Pass,1
109,10,0.0,65,53.2,69.3,23.0,Pass,1
110,10,2.0,65,54.4,92.1,18.0,Pass,1
111,10,4.0,65,45.7,69.3,23.0,Pass,1
112,10,9.0,65,47.0,34.3,4.0,Pass,1
113,10,17.0,65,56.9,67.6,23.0,Pass,1
114,10,20.0,65,58.4,41.9,4.0,Pass,1
115,10,22.0,65,58.7,28.3,21.0,Pass,1
116,10,29.0,65,61.6,12.9,11.0,Pass,1
117,10,31.0,65,63.8,28.3,5.0,Pass,1
118,10,34.0,65,73.4,24.6,21.0,Foul,4
100,10,34.0,833,26.6,75.4,316957.0,Foul,4
119,11,12.0,65,75.9,23.0,11.0,Pass,1
120,11,15.0,65,87.1,45.2,7.0,SavedShot,15
102,11,15.0,833,4.1,52.2,109930.0,Save,10
101,11,17.0,833,4.1,52.2,109930.0,KeeperPickup,52
103,11,24.0,833,7.4,47.5,109930.0,Pass,1
104,11,29.0,833,22.2,72.7,316957.0,Pass,1
105,11,33.0,833,20.8,94.7,135098.0,Pass,1
106,11,34.0,833,19.2,87.1,118898.0,Pass,1
107,11,35.0,833,29.1,92.1,133808.0,Pass,1
108,11,36.0,833,26.0,94.5,118898.0,Pass,1
109,11,38.0,833,38.9,88.1,303800.0,Pass,1
121,11,38.0,65,66.8,24.3,16.0,BallRecovery,49
122,11,38.0,65,66.8,24.3,16.0,Pass,1
123,11,39.0,65,73.6,20.7,21.0,Pass,1
124,11,42.0,65,68.2,26.1,11.0,Pass,1
110,11,43.0,833,28.7,72.7,303800.0,Interception,8
111,11,44.0,833,32.4,12.5,273453.0,BallRecovery,49
112,11,47.0,833,30.6,14.4,273453.0,Pass,1
113,11,49.0,833,35.6,29.7,402086.0,Pass,1
114,11,50.0,833,31.3,29.5,273453.0,Pass,1
115,11,53.0,833,18.2,43.4,101130.0,Pass,1
116,11,56.0,833,24.4,72.4,125246.0,Pass,1
117,11,58.0,833,38.0,68.7,133808.0,Dispossessed,50
125,11,58.0,65,62.0,31.3,21.0,Tackle,7
118,12,0.0,833,39.4,71.1,133808.0,BallTouch,61
126,12,0.0,65,67.7,37.4,7.0,BallRecovery,49
127,12,1.0,65,67.6,38.6,7.0,Pass,1
119,12,1.0,833,38.5,64.2,402086.0,BlockedPass,74
120,12,4.0,833,42.3,62.3,303800.0,BallRecovery,49
121,12,5.0,833,42.3,62.9,303800.0,Pass,1
122,12,8.0,833,41.9,70.3,133808.0,Pass,1
123,12,11.0,833,52.8,94.2,135098.0,Pass,1
124,12,12.0,833,51.5,85.7,133808.0,Pass,1
125,12,13.0,833,55.7,89.1,135098.0,BallTouch,61
128,12,14.0,65,40.8,14.3,21.0,Pass,1
129,12,16.0,65,38.2,1.9,7.0,BallRecovery,49
130,12,17.0,65,38.2,1.9,7.0,Pass,1
131,12,20.0,65,8.5,40.4,1.0,Pass,1
132,12,27.0,65,38.9,67.2,23.0,Pass,1
133,12,31.0,65,44.0,35.5,21.0,Pass,1
134,12,35.0,65,39.6,40.9,4.0,Pass,1
126,12,38.0,833,25.5,51.6,101130.0,Interception,8
127,12,39.0,833,29.4,56.1,118898.0,Pass,1
128,12,40.0,833,22.8,54.6,101130.0,BallRecovery,49
129,12,40.0,833,22.8,54.6,101130.0,Pass,1
135,12,43.0,65,44.0,68.8,23.0,Aerial,44
136,12,43.0,65,44.0,68.5,23.0,Pass,1
130,12,44.0,833,56.1,31.0,303800.0,Aerial,44
131,12,46.0,833,47.4,29.2,402086.0,Pass,1
132,12,51.0,833,50.1,18.6,273453.0,Pass,1
133,12,56.0,833,61.7,50.7,303800.0,Pass,1
134,13,0.0,833,85.3,86.2,133808.0,Pass,1
135,13,1.0,833,92.5,88.4,135098.0,Pass,1
139,13,2.0,65,8.6,20.0,28.0,BallTouch,61
137,13,3.0,65,7.5,53.7,18.0,Clearance,12
138,13,7.0,65,25.2,67.4,9.0,Foul,4
136,13,7.0,833,74.8,32.6,14085.0,Foul,4
140,13,27.0,65,31.2,75.7,23.0,Pass,1
142,13,29.0,65,38.7,12.3,28.0,Pass,1
143,13,31.0,65,42.5,28.8,5.0,Pass,1
144,13,35.0,65,52.2,58.5,21.0,Pass,1
137,13,38.0,833,9.3,25.9,273453.0,Clearance,12
138,13,39.0,833,6.4,16.6,273453.0,CornerAwarded,6
145,13,39.0,65,93.6,83.4,21.0,CornerAwarded,6
146,14,5.0,65,99.5,99.5,11.0,Pass,1
147,14,6.0,65,89.2,92.7,16.0,Pass,1
148,14,8.0,65,76.1,78.8,18.0,Pass,1
149,14,15.0,65,82.2,71.7,11.0,SavedShot,15
139,14,15.0,833,19.1,36.9,273453.0,Save,10
140,14,17.0,833,18.2,42.9,118898.0,Aerial,44
150,14,17.0,65,81.8,57.1,16.0,Aerial,44
141,14,18.0,833,18.5,41.2,118898.0,Clearance,12
151,14,18.0,65,74.8,47.2,5.0,Pass,1
152,14,19.0,65,64.8,48.5,28.0,Pass,1
153,14,23.0,65,67.7,76.1,18.0,Pass,1
142,14,27.0,833,4.8,58.2,109930.0,Claim,11
144,14,44.0,833,8.7,58.2,109930.0,Pass,1
145,14,46.0,833,19.2,70.9,316957.0,Pass,1
146,14,47.0,833,7.6,48.8,109930.0,Pass,1
147,14,51.0,833,29.6,6.1,14085.0,Pass,1
148,14,53.0,833,18.1,10.1,101130.0,Pass,1
149,14,55.0,833,4.5,37.7,109930.0,Pass,1
150,15,2.0,833,25.2,64.6,316957.0,Pass,1
151,15,6.0,833,9.0,45.4,109930.0,Pass,1
152,15,10.0,833,25.0,34.2,125246.0,Pass,1
153,15,13.0,833,30.5,17.4,101130.0,Pass,1
154,15,15.0,833,48.8,3.8,14085.0,Pass,1
155,15,18.0,833,57.0,22.4,303800.0,Pass,1
156,15,21.0,833,43.6,29.7,402086.0,Pass,1
157,15,23.0,833,36.7,62.0,316957.0,Pass,1
158,15,25.0,833,40.6,90.0,135098.0,Pass,1
154,15,27.0,65,34.9,32.7,4.0,BallRecovery,49
155,15,27.0,65,34.9,32.7,4.0,Pass,1
156,15,28.0,65,38.9,29.1,5.0,Pass,1
157,15,32.0,65,61.5,46.1,21.0,Pass,1
158,15,33.0,65,67.0,64.5,7.0,Pass,1
159,15,37.0,65,79.3,81.1,9.0,Pass,1
160,15,38.0,65,79.5,74.4,7.0,Pass,1
161,15,39.0,65,77.5,77.5,18.0,Pass,1
162,15,43.0,65,75.3,43.4,5.0,Pass,1
163,15,44.0,65,79.3,38.0,11.0,BallTouch,61
164,15,47.0,65,76.7,38.5,5.0,Pass,1
165,15,48.0,65,67.7,56.3,23.0,Pass,1
166,15,50.0,65,70.1,74.7,18.0,Pass,1
167,15,56.0,65,82.1,88.1,16.0,Pass,1
168,15,59.0,65,72.6,76.4,18.0,Pass,1
169,16,3.0,65,75.9,89.2,9.0,Foul,4
159,16,3.0,833,24.1,10.8,14085.0,Foul,4
170,16,52.0,65,77.6,90.6,11.0,Pass,1
160,16,54.0,833,8.6,38.8,125246.0,Clearance,12
172,16,55.0,65,89.5,61.7,7.0,BallTouch,61
161,16,56.0,833,4.2,33.2,125246.0,Challenge,45
173,16,56.0,65,95.8,66.8,7.0,TakeOn,3
174,16,57.0,65,97.2,72.1,7.0,Pass,1
162,16,58.0,833,6.3,48.2,316957.0,Clearance,12
175,16,59.0,65,84.1,60.3,16.0,Pass,1
176,17,0.0,65,77.2,63.6,18.0,Pass,1
177,17,1.0,65,74.3,40.3,5.0,Pass,1
178,17,5.0,65,64.9,51.3,28.0,Pass,1
179,17,6.0,65,71.3,64.2,16.0,Pass,1
180,17,8.0,65,74.0,88.0,18.0,Pass,1
181,17,8.0,65,84.4,51.8,9.0,Pass,1
182,17,11.0,65,82.5,57.5,7.0,MissedShots,13
164,17,38.0,833,3.5,49.1,109930.0,Pass,1
165,17,41.0,833,15.4,14.6,101130.0,Pass,1
184,17,42.0,65,54.9,91.2,18.0,BallRecovery,49
185,17,43.0,65,54.9,91.4,18.0,Pass,1
186,17,46.0,65,45.9,71.4,23.0,Pass,1
187,17,51.0,65,56.6,39.8,4.0,Pass,1
188,17,54.0,65,48.8,21.9,28.0,Pass,1
189,17,58.0,65,46.4,63.6,23.0,Pass,1
11204,18,,65,82.7,17.6,7.0,OffsideGiven,10000
190,18,0.0,65,53.1,67.2,16.0,Pass,1
191,18,3.0,65,45.9,42.1,4.0,Pass,1
192,18,5.0,65,46.3,63.9,23.0,Pass,1
193,18,7.0,65,53.0,46.4,5.0,Pass,1
194,18,9.0,65,63.6,45.1,7.0,Pass,1
166,18,12.0,833,31.1,62.3,118898.0,BallRecovery,49
167,18,12.0,833,30.1,65.1,118898.0,Pass,1
168,18,13.0,833,28.8,75.7,133808.0,Pass,1
169,18,14.0,833,19.2,65.7,316957.0,Pass,1
170,18,17.0,833,4.4,50.1,109930.0,Pass,1
195,18,23.0,65,54.2,48.2,4.0,Foul,4
171,18,23.0,833,45.8,51.8,303800.0,Foul,4
196,18,34.0,65,53.3,46.1,4.0,Pass,1
197,18,37.0,65,54.4,57.6,5.0,Pass,1
198,18,39.0,65,57.7,34.8,4.0,Pass,1
199,18,44.0,65,55.6,60.6,23.0,Pass,1
200,18,46.0,65,60.2,34.8,4.0,Pass,1
201,18,48.0,65,65.7,34.6,7.0,Pass,1
202,18,50.0,65,57.4,12.8,28.0,Pass,1
203,18,51.0,65,67.0,2.6,11.0,Pass,1
172,18,53.0,833,24.5,55.3,101130.0,OffsideProvoked,55
204,18,53.0,65,75.9,6.5,21.0,OffsidePass,2
173,19,20.0,833,19.2,84.2,316957.0,Pass,1
174,19,24.0,833,65.2,74.8,303800.0,Pass,1
175,19,30.0,833,82.8,92.6,135098.0,Pass,1
176,19,32.0,833,84.2,65.9,303800.0,TakeOn,3
205,19,32.0,65,15.8,34.1,28.0,Tackle,7
177,19,34.0,833,86.8,67.8,402086.0,Pass,1
178,19,35.0,833,80.1,67.3,303800.0,Pass,1
179,19,38.0,833,89.8,68.7,133808.0,Pass,1
180,19,39.0,833,88.9,82.4,135098.0,Pass,1
181,19,42.0,833,95.1,54.8,402086.0,Aerial,44
206,19,42.0,65,4.9,45.2,4.0,Aerial,44
182,19,43.0,833,95.0,54.2,402086.0,MissedShots,13
208,20,5.0,65,4.7,43.6,1.0,Pass,1
209,20,7.0,65,37.7,78.1,23.0,Pass,1
210,20,9.0,65,46.4,97.8,18.0,Pass,1
184,20,11.0,833,30.5,5.8,14085.0,Interception,8
185,20,12.0,833,36.7,28.0,125246.0,BallRecovery,49
186,20,13.0,833,36.6,28.0,125246.0,Pass,1
187,20,14.0,833,42.5,17.7,402086.0,Dispossessed,50
211,20,14.0,65,57.5,82.3,5.0,Tackle,7
212,20,16.0,65,46.6,91.5,18.0,BallRecovery,49
213,20,16.0,65,46.6,91.5,18.0,Pass,1
214,20,17.0,65,40.1,77.0,23.0,Pass,1
215,20,22.0,65,45.0,40.6,4.0,Pass,1
216,20,26.0,65,56.5,25.9,21.0,Pass,1
217,20,28.0,65,61.5,4.1,11.0,Pass,1
218,20,30.0,65,48.9,7.3,28.0,Pass,1
219,20,35.0,65,34.9,38.5,4.0,Pass,1
220,20,39.0,65,42.1,68.4,23.0,Pass,1
221,20,42.0,65,44.1,32.2,4.0,Pass,1
222,20,50.0,65,65.4,22.5,11.0,Pass,1
223,20,53.0,65,95.3,19.2,28.0,Pass,1
188,20,55.0,833,8.1,56.0,101130.0,Clearance,12
189,20,57.0,833,22.2,36.6,273453.0,Pass,1
224,20,58.0,65,72.6,33.3,7.0,Pass,1
190,20,59.0,833,26.8,57.8,303800.0,Interception,8
225,20,59.0,65,69.1,51.6,5.0,Pass,1
226,21,1.0,65,56.0,50.9,23.0,Pass,1
227,21,4.0,65,62.3,35.1,4.0,Pass,1
228,21,6.0,65,67.2,34.0,7.0,Pass,1
229,21,10.0,65,71.1,13.2,11.0,Pass,1
230,21,13.0,65,82.2,5.0,28.0,Pass,1
231,21,16.0,65,63.9,10.6,11.0,Pass,1
232,21,28.0,65,31.8,36.6,4.0,Pass,1
233,21,33.0,65,51.1,67.9,23.0,Pass,1
234,21,34.0,65,56.9,68.7,9.0,Pass,1
235,21,38.0,65,51.6,69.7,23.0,Pass,1
236,21,40.0,65,47.3,43.7,4.0,Pass,1
237,21,43.0,65,48.8,36.6,5.0,Pass,1
238,21,48.0,65,53.2,63.1,23.0,Pass,1
239,21,53.0,65,65.8,87.2,16.0,Pass,1
240,21,54.0,65,68.6,76.3,7.0,Pass,1
192,22,18.0,833,4.5,50.7,109930.0,Pass,1
193,22,21.0,833,20.6,78.7,316957.0,Pass,1
194,22,23.0,833,37.3,67.9,303800.0,BallTouch,61
242,22,24.0,65,62.5,41.2,5.0,Pass,1
244,22,25.0,65,71.4,25.0,7.0,BallRecovery,49
243,22,26.0,65,73.2,33.4,7.0,Pass,1
245,22,27.0,65,72.2,21.9,11.0,Pass,1
199,22,28.0,833,28.4,64.9,303800.0,Interception,8
246,22,29.0,65,70.7,30.1,21.0,Pass,1
247,22,32.0,65,82.0,11.1,28.0,Pass,1
248,22,34.0,65,84.8,18.0,11.0,TakeOn,3
195,22,34.0,833,15.2,82.0,135098.0,Tackle,7
249,22,36.0,65,81.6,15.6,11.0,Pass,1
196,22,37.0,833,28.7,85.1,133808.0,BlockedPass,74
251,22,51.0,65,77.2,0.0,28.0,Pass,1
252,22,55.0,65,52.2,15.0,4.0,Pass,1
253,23,2.0,65,56.6,60.9,23.0,Pass,1
254,23,5.0,65,61.0,32.7,4.0,Pass,1
255,23,7.0,65,66.2,20.0,11.0,Pass,1
256,23,11.0,65,74.6,10.2,28.0,Foul,4
198,23,11.0,833,25.4,89.8,133808.0,Foul,4
257,24,5.0,65,75.3,19.7,11.0,Pass,1
200,24,8.0,833,8.6,48.1,14085.0,Clearance,12
201,24,11.0,833,16.4,43.1,402086.0,Clearance,12
258,24,14.0,65,63.2,85.7,18.0,Pass,1
259,24,16.0,65,69.7,88.7,5.0,Pass,1
260,24,19.0,65,55.3,85.9,18.0,Pass,1
261,24,22.0,65,44.9,47.3,28.0,Pass,1
262,24,24.0,65,55.0,34.0,21.0,Pass,1
263,24,31.0,65,58.1,65.1,5.0,Pass,1
264,24,35.0,65,62.8,71.8,16.0,Pass,1
265,24,36.0,65,64.7,64.2,5.0,Pass,1
266,24,39.0,65,66.0,36.7,4.0,Pass,1
202,24,44.0,833,18.6,86.6,133808.0,Challenge,45
267,24,44.0,65,81.4,13.4,11.0,TakeOn,3
203,24,46.0,833,18.9,68.3,135098.0,Challenge,45
268,24,46.0,65,81.1,31.7,11.0,TakeOn,3
269,24,47.0,65,79.1,30.7,11.0,TakeOn,3
204,24,48.0,833,15.5,61.4,135098.0,BallTouch,61
205,24,52.0,833,20.6,43.3,125246.0,BallRecovery,49
206,24,53.0,833,21.7,41.2,125246.0,Pass,1
207,24,54.0,833,11.5,14.3,101130.0,Pass,1
208,24,55.0,833,19.7,3.2,14085.0,Pass,1
270,24,56.0,65,69.5,89.3,5.0,BallRecovery,49
271,24,58.0,65,68.9,89.6,5.0,Pass,1
272,25,0.0,65,51.7,87.7,23.0,Pass,1
273,25,7.0,65,59.5,46.9,4.0,Pass,1
274,25,9.0,65,55.2,68.2,23.0,Pass,1
275,25,18.0,65,61.9,80.6,5.0,Pass,1
276,25,19.0,65,64.4,67.6,21.0,Pass,1
277,25,20.0,65,65.0,72.9,16.0,Pass,1
278,25,25.0,65,62.3,35.4,4.0,Pass,1
279,25,27.0,65,53.5,59.6,23.0,Pass,1
280,25,29.0,65,60.0,75.7,5.0,Pass,1
209,25,34.0,833,2.3,29.5,109930.0,BallRecovery,49
210,25,44.0,833,5.4,30.7,109930.0,Pass,1
211,25,45.0,833,12.3,15.8,14085.0,Pass,1
212,25,46.0,833,21.1,4.9,273453.0,Pass,1
213,25,47.0,833,14.3,14.1,101130.0,Pass,1
214,25,50.0,833,6.0,30.7,109930.0,Pass,1
215,25,52.0,833,21.6,42.1,125246.0,Pass,1
216,25,57.0,833,36.0,92.9,135098.0,Pass,1
281,25,58.0,65,36.5,8.6,28.0,BallRecovery,49
282,26,2.0,65,37.6,22.7,28.0,Pass,1
283,26,4.0,65,47.1,31.9,5.0,Pass,1
217,26,7.0,833,42.4,70.9,118898.0,Interception,8
285,26,20.0,65,79.4,0.0,28.0,Pass,1
286,26,24.0,65,54.7,23.9,4.0,Pass,1
287,26,29.0,65,54.0,59.7,23.0,Pass,1
288,26,31.0,65,54.7,89.4,18.0,Pass,1
289,26,36.0,65,62.6,91.8,9.0,Foul,4
219,26,36.0,833,37.4,8.2,14085.0,Foul,4
290,26,41.0,65,59.3,93.0,16.0,Pass,1
291,26,42.0,65,57.4,87.4,18.0,Pass,1
292,26,44.0,65,55.3,32.8,4.0,Pass,1
293,26,47.0,65,58.7,23.1,21.0,Pass,1
294,26,49.0,65,61.4,40.4,5.0,Pass,1
295,26,53.0,65,59.3,68.2,23.0,Pass,1
